date,region,language,keyword,impressions,clicks,page_load_time_sec,conversions,revenue_usd
2026-02-22,US,EN,best marathon sneakers,13511,510,0.77,16,802.12
2026-05-10,US,EN,buy gym shoes,8248,571,0.58,27,2898.03
2026-03-25,US,EN,running shoes online,8663,197,1.01,5,326.7
2026-04-02,US,EN,buy gym shoes,11706,312,3.5,3,247.98
2026-04-21,US,EN,running shoes online,14797,1085,0.59,46,3819.01
2026-06-21,US,EN,best marathon sneakers,6232,224,0.9,8,569.45
2026-01-08,US,EN,discount sports shoes,4997,299,0.77,8,737.1
2026-06-24,APAC,ZH,cross-border sports sneakers,9407,445,6.27,2,160.29
2026-02-04,US,EN,buy gym shoes,1030,35,0.76,1,64.71
2026-03-22,US,EN,best marathon sneakers,17434,470,0.9,15,1070.22
2026-06-13,APAC,JP,跑步鞋推荐2026,5919,240,6.39,1,64.99
2026-02-19,US,EN,buy gym shoes,7816,421,0.51,16,1328.1
2026-04-14,US,EN,best marathon sneakers,11340,644,0.68,20,881.99
2026-05-12,APAC,ZH,跑步鞋推荐2026,4147,86,7.72,0,0.0
2026-01-02,US,EN,affordable athletic footwear,9320,405,2.11,6,519.9
2026-05-14,APAC,ZH,ランニングシューズ 評価,18074,558,2.11,5,389.29
2026-02-23,APAC,JP,ランニングシューズ 評価,6288,128,7.48,0,0.0
2026-04-16,US,EN,buy gym shoes,6136,257,0.93,9,1012.41
2026-01-04,US,EN,best marathon sneakers,18470,1264,1.56,26,1776.47
2026-02-23,APAC,JP,ランニングシューズ 評価,15126,543,13.89,1,101.65
2026-05-26,US,EN,buy gym shoes,10641,349,1.7,5,403.64
2026-02-13,APAC,EN,ランニングシューズ 評価,14532,320,2.29,2,193.89
2026-06-11,APAC,JP,cross-border sports sneakers,19481,719,3.29,4,372.85
2026-01-14,US,EN,affordable athletic footwear,5705,211,1.89,5,436.82
2026-04-05,US,EN,discount sports shoes,17189,506,1.54,10,745.61
2026-02-17,US,EN,buy gym shoes,8428,362,1.0,10,961.27
2026-01-15,US,EN,best marathon sneakers,9829,643,0.8,15,1224.4
2026-02-09,US,EN,best marathon sneakers,9322,484,1.25,16,1736.05
2026-03-23,US,EN,affordable athletic footwear,15255,1144,1.68,30,2917.75
2026-04-21,US,EN,running shoes online,14690,778,2.66,12,1124.25
2026-02-22,US,EN,best marathon sneakers,500,26,1.08,0,0.0
2026-01-24,US,EN,discount sports shoes,12801,509,0.79,13,1099.14
2026-06-03,US,EN,discount sports shoes,8869,299,2.82,5,505.99
2026-05-04,US,EN,running shoes online,9550,330,7.66,2,191.89
2026-02-10,US,EN,discount sports shoes,15083,880,3.5,9,679.44
2026-06-06,APAC,ZH,跑步鞋推荐2026,15113,575,4.61,2,175.91
2026-01-15,APAC,ZH,跑步鞋推荐2026,10686,532,6.99,2,146.18
2026-02-14,US,EN,best marathon sneakers,1710,83,10.83,0,0.0
2026-03-06,US,EN,best marathon sneakers,11983,756,2.47,11,491.83
2026-03-30,APAC,JP,跑步鞋推荐2026,10576,241,8.18,0,0.0
2026-03-12,APAC,EN,跑步鞋推荐2026,7638,335,2.05,4,376.87
2026-01-09,APAC,EN,ランニングシューズ 評価,2763,119,10.07,0,0.0
2026-03-29,US,EN,buy gym shoes,19435,1130,1.07,29,2844.93
2026-05-09,US,EN,best marathon sneakers,13232,678,0.78,21,1815.4
2026-05-16,US,EN,running shoes online,8659,421,3.86,5,420.08
2026-03-04,US,EN,best marathon sneakers,15870,728,5.11,6,484.35
2026-05-19,US,EN,running shoes online,5958,447,2.1,8,709.89
2026-03-22,US,EN,buy gym shoes,14440,701,2.51,12,1124.7
2026-05-16,APAC,ZH,耐磨网球鞋,5516,248,1.67,3,167.33
2026-06-12,US,EN,best marathon sneakers,10704,570,2.23,13,988.15
2026-06-12,US,EN,best marathon sneakers,15774,353,1.28,11,994.61
2026-02-02,US,EN,discount sports shoes,12638,689,3.05,13,1030.5
2026-05-03,US,EN,best marathon sneakers,2951,169,1.12,5,392.19
2026-01-05,US,EN,discount sports shoes,6635,436,2.29,6,509.36
2026-02-10,APAC,JP,跑步鞋推荐2026,2444,87,12.46,0,0.0
2026-01-28,US,EN,affordable athletic footwear,12183,791,1.85,17,1128.79
2026-05-15,APAC,JP,耐磨网球鞋,12511,319,3.21,2,227.37
2026-03-13,US,EN,discount sports shoes,2099,115,4.71,0,0.0
2026-01-12,US,EN,buy gym shoes,12851,449,1.85,9,552.36
2026-06-11,US,EN,discount sports shoes,16381,669,0.79,17,1216.66
2026-02-02,US,EN,buy gym shoes,14386,670,5.46,5,514.58
2026-02-17,US,EN,buy gym shoes,19315,893,1.72,14,1186.58
2026-05-31,US,EN,running shoes online,14008,355,1.1,10,1036.88
2026-03-03,US,EN,discount sports shoes,19911,867,1.46,25,1958.18
2026-02-06,US,EN,affordable athletic footwear,16881,1148,1.72,18,1989.58
2026-04-09,US,EN,affordable athletic footwear,16085,587,2.04,8,644.27
2026-06-21,US,EN,discount sports shoes,5315,307,1.03,8,739.58
2026-04-14,US,EN,running shoes online,931,33,0.59,1,85.0
2026-02-04,US,EN,buy gym shoes,3815,157,0.91,5,437.21
2026-04-11,US,EN,running shoes online,3350,158,6.86,1,73.9
2026-06-24,APAC,ZH,ランニングシューズ 評価,18257,877,17.56,1,93.61
2026-05-11,US,EN,running shoes online,515,39,5.45,0,0.0
2026-01-01,APAC,JP,ランニングシューズ 評価,12964,517,2.73,3,301.51
2026-01-05,US,EN,affordable athletic footwear,990,27,0.85,0,0.0
2026-05-22,US,EN,best marathon sneakers,3666,222,0.85,7,565.48
2026-04-13,APAC,ZH,東京 マラソン 靴,14995,517,5.73,2,230.38
2026-01-27,US,EN,best marathon sneakers,10963,811,1.62,13,941.04
2026-05-17,US,EN,running shoes online,8151,234,2.48,4,476.69
2026-01-15,US,EN,best marathon sneakers,9444,284,1.97,5,515.66
2026-03-31,US,EN,running shoes online,1741,80,2.37,1,82.53
2026-02-11,APAC,JP,ランニングシューズ 評価,17553,403,10.11,1,62.74
2026-05-04,US,EN,buy gym shoes,11083,276,1.75,7,532.85
2026-06-28,US,EN,buy gym shoes,16947,1051,8.68,7,639.63
2026-03-04,US,EN,running shoes online,18311,571,7.82,3,297.68
2026-04-06,US,EN,discount sports shoes,5932,136,0.64,4,372.19
2026-02-21,APAC,JP,跑步鞋推荐2026,6133,194,17.48,0,0.0
2026-04-06,APAC,EN,耐磨网球鞋,6866,147,1.37,2,160.18
2026-05-12,US,EN,running shoes online,19665,920,0.5,35,2833.17
2026-05-31,US,EN,discount sports shoes,19821,1573,1.99,25,1915.33
2026-05-23,US,EN,affordable athletic footwear,14440,955,2.92,12,1168.21
2026-06-20,US,EN,best marathon sneakers,19708,1297,1.22,35,2999.31
2026-01-29,US,EN,affordable athletic footwear,6377,219,0.51,7,661.76
2026-02-05,US,EN,running shoes online,13514,301,1.05,7,566.1
2026-01-13,APAC,ZH,ランニングシューズ 評価,17144,825,2.71,7,732.97
2026-06-09,US,EN,running shoes online,13389,867,1.36,25,1645.93
2026-03-12,APAC,JP,cross-border sports sneakers,1474,55,2.28,0,0.0
2026-03-27,APAC,ZH,東京 マラソン 靴,13141,445,2.7,2,152.87
2026-01-28,US,EN,best marathon sneakers,8706,462,0.94,14,1161.55
2026-03-07,APAC,ZH,跑步鞋推荐2026,15983,717,4.13,4,316.85
2026-06-19,US,EN,best marathon sneakers,6387,476,2.28,9,881.39
2026-02-14,US,EN,affordable athletic footwear,791,55,4.53,0,0.0
2026-03-03,US,EN,discount sports shoes,19499,1490,0.52,65,4941.75
2026-05-14,US,EN,discount sports shoes,1970,121,0.58,4,340.0
2026-01-28,APAC,JP,cross-border sports sneakers,12542,404,1.85,4,299.05
2026-01-28,APAC,EN,cross-border sports sneakers,13523,663,4.12,4,382.0
2026-04-18,APAC,ZH,cross-border sports sneakers,2512,49,1.98,0,0.0
2026-02-13,US,EN,running shoes online,15180,489,4.22,6,358.04
2026-03-25,US,EN,buy gym shoes,1046,70,2.67,1,86.38
2026-01-30,US,EN,affordable athletic footwear,17549,1371,2.96,18,1408.46
2026-03-16,APAC,ZH,耐磨网球鞋,3252,58,6.27,0,0.0
2026-05-08,APAC,ZH,耐磨网球鞋,7132,169,2.18,1,81.17
2026-04-02,US,EN,affordable athletic footwear,17841,1076,3.91,15,1388.98
2026-05-09,US,EN,best marathon sneakers,17051,855,3.21,15,1369.17
2026-05-01,US,EN,affordable athletic footwear,4232,149,0.58,5,324.52
2026-01-27,APAC,EN,東京 マラソン 靴,6967,191,11.6,0,0.0
2026-05-01,US,EN,running shoes online,19336,1327,1.06,29,2302.3
2026-04-26,APAC,JP,cross-border sports sneakers,4761,193,8.48,0,0.0
2026-01-03,US,EN,discount sports shoes,7772,531,2.89,5,409.61
2026-04-13,APAC,EN,ランニングシューズ 評価,12624,303,4.77,1,90.88
2026-06-04,US,EN,best marathon sneakers,4374,335,0.73,12,1008.55
2026-05-17,US,EN,buy gym shoes,13278,898,2.83,13,1047.46
2026-03-03,US,EN,discount sports shoes,6130,319,0.76,8,640.54
2026-06-14,US,EN,affordable athletic footwear,17975,444,1.29,12,1078.84
2026-02-20,APAC,ZH,東京 マラソン 靴,2980,146,12.63,0,0.0
2026-06-21,US,EN,discount sports shoes,1031,58,0.54,1,71.45
2026-06-01,US,EN,buy gym shoes,19308,387,3.75,6,570.63
2026-02-28,US,EN,discount sports shoes,17547,437,1.61,8,789.34
2026-04-28,US,EN,buy gym shoes,1757,66,4.69,0,0.0
2026-06-09,US,EN,buy gym shoes,12008,363,1.62,10,710.31
2026-04-06,US,EN,discount sports shoes,14372,646,0.65,30,2479.68
2026-06-29,APAC,EN,東京 マラソン 靴,15247,483,8.92,1,100.45
2026-04-23,US,EN,best marathon sneakers,10858,252,0.83,5,425.0
2026-03-03,US,EN,running shoes online,3079,129,0.77,3,331.74
2026-02-21,US,EN,buy gym shoes,17920,1289,2.07,28,2372.73
2026-01-12,US,EN,buy gym shoes,16769,446,1.26,11,1222.69
2026-02-08,US,EN,discount sports shoes,19828,1206,1.07,34,2934.11
2026-05-10,US,EN,discount sports shoes,16383,523,1.56,13,862.41
2026-05-11,US,EN,buy gym shoes,777,21,2.05,0,0.0
2026-04-23,US,EN,affordable athletic footwear,2753,105,1.09,2,122.26
2026-04-11,APAC,EN,cross-border sports sneakers,16402,485,5.54,1,95.04
2026-04-23,APAC,ZH,耐磨网球鞋,12702,435,1.41,5,388.84
2026-03-22,APAC,ZH,ランニングシューズ 評価,18200,605,13.24,1,85.15
2026-04-23,US,EN,running shoes online,5331,414,1.23,12,1049.47
2026-01-02,US,EN,running shoes online,16105,1187,1.47,33,2553.34
2026-05-10,US,EN,best marathon sneakers,15384,1087,4.55,13,1061.01
2026-02-23,US,EN,best marathon sneakers,10830,291,2.48,3,246.93
2026-03-28,US,EN,running shoes online,9911,532,1.64,10,928.29
2026-05-09,US,EN,running shoes online,1724,34,4.2,0,0.0
2026-05-27,APAC,ZH,cross-border sports sneakers,19315,810,1.45,12,1269.2
2026-05-06,APAC,ZH,ランニングシューズ 評価,7680,146,1.23,1,102.83
2026-05-10,US,EN,best marathon sneakers,18923,772,1.15,20,1508.04
2026-02-22,US,EN,buy gym shoes,14990,1067,0.84,35,2793.55
2026-06-21,US,EN,discount sports shoes,19657,1528,0.77,54,3246.34
2026-06-09,US,EN,best marathon sneakers,1155,75,2.01,1,96.73
2026-06-09,APAC,EN,跑步鞋推荐2026,12351,355,2.18,3,276.37
2026-03-09,US,EN,discount sports shoes,18722,1003,3.47,11,946.59
2026-05-03,US,EN,discount sports shoes,17538,866,0.85,35,3451.03
2026-05-25,US,EN,discount sports shoes,17302,684,0.64,18,1963.35
2026-02-07,APAC,ZH,東京 マラソン 靴,4791,96,2.8,0,0.0
2026-01-24,APAC,ZH,ランニングシューズ 評価,4230,165,10.07,0,0.0
2026-03-10,APAC,EN,跑步鞋推荐2026,12912,619,15.65,1,70.93
2026-04-26,US,EN,affordable athletic footwear,7280,442,0.61,16,1375.32
2026-04-08,US,EN,best marathon sneakers,16366,529,1.21,11,1066.69
2026-05-19,US,EN,affordable athletic footwear,17659,509,5.38,5,514.38
2026-05-24,US,EN,discount sports shoes,11697,630,1.87,12,1077.75
2026-04-07,US,EN,discount sports shoes,9032,538,4.27,4,371.69
2026-05-04,APAC,JP,cross-border sports sneakers,15265,597,1.73,7,546.24
2026-03-11,US,EN,affordable athletic footwear,14312,1117,1.86,29,1392.55
2026-04-03,APAC,JP,東京 マラソン 靴,3511,133,1.54,1,72.41
2026-01-03,APAC,ZH,東京 マラソン 靴,8650,141,8.68,0,0.0
2026-05-28,APAC,JP,東京 マラソン 靴,9977,178,1.55,2,141.91
2026-06-13,US,EN,discount sports shoes,8707,482,5.77,3,166.73
2026-05-27,US,EN,running shoes online,17991,480,1.27,12,736.75
2026-03-31,APAC,ZH,cross-border sports sneakers,4459,103,4.35,0,0.0
2026-05-27,APAC,ZH,東京 マラソン 靴,8889,406,2.06,3,255.0
2026-05-28,US,EN,best marathon sneakers,6141,383,2.25,6,460.15
2026-04-06,US,EN,discount sports shoes,991,50,0.53,1,93.19
2026-02-21,APAC,EN,跑步鞋推荐2026,6954,266,3.55,1,91.44
2026-06-10,US,EN,affordable athletic footwear,16563,339,1.22,9,883.86
2026-06-17,US,EN,discount sports shoes,2080,44,1.04,1,92.71
2026-05-08,US,EN,affordable athletic footwear,13636,738,2.2,10,919.08
2026-02-08,US,EN,best marathon sneakers,10487,561,1.93,14,1079.11
2026-03-23,APAC,EN,跑步鞋推荐2026,9141,377,6.73,1,113.01
2026-04-14,US,EN,buy gym shoes,10499,373,0.66,17,1845.66
2026-05-09,APAC,ZH,跑步鞋推荐2026,6078,271,8.08,0,0.0
2026-01-11,US,EN,running shoes online,7702,231,0.64,10,741.55
2026-06-27,APAC,ZH,cross-border sports sneakers,7277,283,11.66,0,0.0
2026-05-31,APAC,EN,東京 マラソン 靴,2146,100,2.99,0,0.0
2026-06-08,US,EN,affordable athletic footwear,1755,108,4.52,1,97.22
2026-02-11,APAC,JP,跑步鞋推荐2026,16982,745,3.5,5,418.54
2026-04-09,US,EN,affordable athletic footwear,8779,638,0.59,18,814.79
2026-01-07,APAC,ZH,ランニングシューズ 評価,789,35,1.49,0,0.0
2026-05-24,US,EN,buy gym shoes,3901,244,0.68,10,964.13
2026-03-31,US,EN,best marathon sneakers,9295,418,1.04,12,1169.18
2026-04-22,US,EN,affordable athletic footwear,7586,189,0.71,6,428.16
2026-03-01,US,EN,best marathon sneakers,13457,664,1.24,19,1802.41
2026-04-23,US,EN,discount sports shoes,10607,440,0.8,17,1204.03
2026-01-02,US,EN,affordable athletic footwear,14480,708,2.59,13,960.05
2026-05-09,US,EN,running shoes online,10309,675,5.13,8,722.06
2026-02-17,US,EN,affordable athletic footwear,9148,457,1.39,14,1149.03
2026-05-20,US,EN,running shoes online,12413,946,2.46,12,1057.18
2026-02-06,US,EN,running shoes online,950,32,0.87,1,70.99
2026-06-09,US,EN,buy gym shoes,19020,591,1.18,12,863.84
2026-01-09,US,EN,discount sports shoes,8128,463,1.72,10,678.77
2026-04-09,US,EN,discount sports shoes,11170,401,1.23,12,1073.6
2026-05-27,APAC,JP,耐磨网球鞋,19713,901,3.75,5,590.92
2026-02-17,US,EN,best marathon sneakers,13419,807,3.17,12,867.69
2026-05-11,US,EN,buy gym shoes,14497,384,3.61,4,269.78
2026-05-28,APAC,ZH,東京 マラソン 靴,16311,540,6.99,2,156.35
2026-06-01,US,EN,affordable athletic footwear,1826,90,1.91,1,56.35
2026-02-23,US,EN,buy gym shoes,5428,290,0.87,10,794.44
2026-04-30,US,EN,best marathon sneakers,4650,359,4.63,4,280.52
2026-06-10,US,EN,affordable athletic footwear,5019,207,0.93,6,493.68
2026-06-01,APAC,EN,ランニングシューズ 評価,6355,158,1.41,2,221.7
2026-04-26,US,EN,affordable athletic footwear,15689,887,1.06,23,1791.45
2026-03-16,APAC,ZH,耐磨网球鞋,8548,146,6.56,0,0.0
2026-04-23,US,EN,best marathon sneakers,7576,448,1.89,9,1024.55
2026-06-13,APAC,EN,耐磨网球鞋,6343,254,4.33,1,94.68
2026-06-15,APAC,JP,跑步鞋推荐2026,9478,146,3.95,0,0.0
2026-04-14,US,EN,buy gym shoes,11024,491,1.23,16,1120.47
2026-03-25,US,EN,best marathon sneakers,13761,872,2.53,13,1578.32
2026-04-22,US,EN,affordable athletic footwear,6705,194,1.1,5,519.67
2026-04-09,US,EN,discount sports shoes,9142,469,0.64,22,1346.16
2026-06-02,US,EN,running shoes online,15426,896,0.64,40,4435.95
2026-04-03,APAC,EN,ランニングシューズ 評価,5816,205,6.61,0,0.0
2026-05-26,US,EN,buy gym shoes,864,48,2.61,0,0.0
2026-05-08,APAC,JP,東京 マラソン 靴,13289,648,1.89,8,506.31
2026-04-20,US,EN,buy gym shoes,4022,241,0.74,8,559.05
2026-03-23,US,EN,best marathon sneakers,13891,280,0.94,6,573.76
2026-02-23,APAC,JP,耐磨网球鞋,641,14,3.26,0,0.0
2026-06-12,US,EN,discount sports shoes,13386,867,3.96,8,625.69
2026-06-18,US,EN,discount sports shoes,9145,596,0.68,24,2011.51
2026-06-10,US,EN,discount sports shoes,12399,275,2.87,4,417.92
2026-03-09,APAC,JP,耐磨网球鞋,7345,116,2.68,0,0.0
2026-02-02,US,EN,running shoes online,3006,75,0.64,2,202.41
2026-05-22,APAC,ZH,耐磨网球鞋,6748,254,7.77,0,0.0
2026-01-21,US,EN,running shoes online,2867,164,3.81,1,83.51
2026-02-17,APAC,EN,耐磨网球鞋,15005,453,1.28,7,594.27
2026-05-28,US,EN,best marathon sneakers,2354,118,1.25,3,299.69
2026-05-08,US,EN,discount sports shoes,1661,53,1.02,1,56.83
2026-05-16,US,EN,buy gym shoes,16772,811,5.1,7,641.39
2026-05-15,APAC,JP,東京 マラソン 靴,13876,470,7.26,1,94.97
2026-05-25,APAC,EN,耐磨网球鞋,18510,634,1.92,6,746.84
2026-05-08,US,EN,discount sports shoes,18180,401,0.68,11,1221.72
2026-02-02,US,EN,affordable athletic footwear,6486,330,3.03,5,277.75
2026-06-25,US,EN,running shoes online,1343,100,1.97,1,112.04
2026-04-25,US,EN,buy gym shoes,16323,888,1.02,30,2774.41
2026-04-29,US,EN,discount sports shoes,8648,564,3.89,7,537.46
2026-01-22,US,EN,buy gym shoes,8915,432,1.45,8,607.32
2026-06-07,US,EN,buy gym shoes,7315,521,1.21,12,1033.32
2026-02-07,US,EN,discount sports shoes,12365,714,2.59,13,883.15
2026-04-19,US,EN,affordable athletic footwear,6706,350,0.74,10,879.94
2026-02-20,US,EN,running shoes online,6174,154,2.25,2,153.14
2026-01-08,US,EN,running shoes online,9665,561,2.63,11,593.53
2026-01-27,US,EN,running shoes online,16875,754,3.43,12,1181.71
2026-01-27,APAC,EN,跑步鞋推荐2026,18228,532,7.89,1,104.45
2026-01-21,APAC,EN,ランニングシューズ 評価,18373,756,6.08,3,285.45
2026-01-30,APAC,ZH,東京 マラソン 靴,5847,98,11.83,0,0.0
2026-04-07,US,EN,discount sports shoes,18525,1320,2.11,24,1513.98
2026-01-28,APAC,ZH,跑步鞋推荐2026,12598,305,13.81,0,0.0
2026-04-21,US,EN,running shoes online,16555,522,3.83,6,586.19
2026-03-02,US,EN,affordable athletic footwear,10608,438,2.64,5,309.78
2026-02-17,US,EN,discount sports shoes,9092,242,2.13,4,341.67
2026-05-27,US,EN,best marathon sneakers,5003,278,1.7,6,413.89
2026-01-04,APAC,ZH,耐磨网球鞋,12246,596,4.5,3,245.44
2026-02-04,APAC,ZH,東京 マラソン 靴,1571,73,3.56,0,0.0
2026-02-18,APAC,ZH,跑步鞋推荐2026,15693,312,2.27,2,156.07
2026-01-17,US,EN,best marathon sneakers,15609,555,3.16,6,584.82
2026-06-21,APAC,ZH,ランニングシューズ 評価,13561,517,9.87,1,105.61
2026-06-07,US,EN,running shoes online,3047,181,2.9,2,226.42
2026-02-15,US,EN,best marathon sneakers,6562,468,3.6,6,417.46
2026-04-27,US,EN,affordable athletic footwear,11131,333,2.32,4,320.1
2026-01-06,US,EN,running shoes online,11375,659,4.51,6,576.82
2026-04-09,US,EN,discount sports shoes,7083,472,3.73,7,554.2
2026-05-04,US,EN,running shoes online,8462,272,1.63,4,405.6
2026-02-06,US,EN,running shoes online,8931,499,0.6,20,1690.07
2026-01-24,APAC,ZH,ランニングシューズ 評価,13387,475,2.32,4,397.51
2026-04-03,APAC,ZH,cross-border sports sneakers,17852,470,6.01,1,87.81
2026-02-15,US,EN,affordable athletic footwear,6614,354,2.81,6,508.3
2026-04-05,APAC,ZH,跑步鞋推荐2026,6403,274,2.21,2,155.5
2026-04-09,APAC,JP,東京 マラソン 靴,5075,232,10.13,0,0.0
2026-04-26,US,EN,running shoes online,12895,781,1.74,16,1395.03
2026-06-09,APAC,ZH,跑步鞋推荐2026,2115,79,5.53,0,0.0
2026-06-10,APAC,EN,耐磨网球鞋,16248,479,2.31,3,213.8
2026-03-08,APAC,ZH,耐磨网球鞋,18027,504,4.39,2,164.34
2026-05-08,US,EN,buy gym shoes,8761,578,0.62,24,2207.8
2026-01-18,US,EN,best marathon sneakers,8387,632,0.59,23,1710.47
2026-01-25,US,EN,affordable athletic footwear,15889,1246,2.49,26,2003.02
2026-02-23,APAC,JP,cross-border sports sneakers,18259,634,1.87,6,552.85
2026-02-27,APAC,EN,東京 マラソン 靴,4087,100,5.58,0,0.0
2026-03-08,US,EN,discount sports shoes,12775,524,4.13,5,453.44
2026-04-14,APAC,JP,cross-border sports sneakers,8424,248,2.98,1,92.69
2026-06-23,US,EN,best marathon sneakers,4070,275,3.53,4,307.99
2026-01-24,US,EN,affordable athletic footwear,16160,422,0.74,13,987.01
2026-04-24,US,EN,best marathon sneakers,17853,1203,1.14,34,2580.4
2026-02-01,APAC,ZH,耐磨网球鞋,15833,394,3.26,2,233.22
2026-06-24,US,EN,affordable athletic footwear,16326,927,7.25,7,711.09
2026-03-27,APAC,ZH,ランニングシューズ 評価,2742,106,6.27,0,0.0
2026-05-31,US,EN,best marathon sneakers,2309,104,6.98,0,0.0
2026-05-07,US,EN,best marathon sneakers,3054,178,1.11,4,383.99
2026-06-04,APAC,EN,耐磨网球鞋,17698,302,13.27,0,0.0
2026-05-10,US,EN,best marathon sneakers,7137,504,4.96,4,341.7
2026-01-17,US,EN,discount sports shoes,17813,1251,0.52,63,4875.85
2026-04-14,US,EN,affordable athletic footwear,16897,516,1.22,9,927.42
2026-06-10,US,EN,best marathon sneakers,9163,216,2.87,4,302.59
2026-05-17,US,EN,discount sports shoes,18981,680,1.61,19,1947.14
2026-02-12,US,EN,running shoes online,18974,1177,2.19,21,2019.01
2026-06-25,US,EN,best marathon sneakers,7353,345,0.99,13,699.5
2026-02-08,APAC,ZH,耐磨网球鞋,10306,204,1.46,2,179.88
2026-06-19,US,EN,buy gym shoes,3623,150,1.86,2,168.6
2026-01-26,APAC,ZH,東京 マラソン 靴,2227,95,2.65,0,0.0
2026-04-09,US,EN,discount sports shoes,14176,341,0.73,10,701.2
2026-02-19,APAC,EN,ランニングシューズ 評価,18658,639,2.09,7,555.92
2026-06-02,US,EN,discount sports shoes,9037,639,3.39,7,647.9
2026-06-01,US,EN,affordable athletic footwear,3479,215,0.76,6,414.85
2026-01-13,APAC,ZH,東京 マラソン 靴,5254,91,12.62,0,0.0
2026-03-01,US,EN,best marathon sneakers,13188,1032,2.16,19,1397.07
2026-05-15,US,EN,affordable athletic footwear,11477,685,1.9,16,1785.77
2026-02-26,APAC,JP,東京 マラソン 靴,16598,400,6.08,1,80.41
2026-02-05,US,EN,affordable athletic footwear,13622,752,0.93,25,2131.25
2026-06-22,APAC,EN,跑步鞋推荐2026,9978,466,4.05,2,140.94
2026-01-20,US,EN,running shoes online,11094,855,3.47,11,757.48
2026-03-06,US,EN,best marathon sneakers,3790,126,2.11,2,183.74
